,Host,ID,Mstar,Mgas,Mvir,Rvir,tquench,tinfall,tau
0,h148,13,104376733.61681984,7503452.808617334,9415818264.989016,65.87041004715958,4.784019334494058,6.033725326034679,1.2497059915406208
0,h148,28,84172037.70770888,103076689.53513119,3474995644.3149943,47.26319968213534,0.7116148154642445,7.326666467273417,6.615051651809172
0,h148,36,3707060.7635912253,0.0,2962467364.8369823,44.79896167185853,3.200599324146072,3.447843043558656,0.24724371941258383
0,h148,37,5759678.703155427,58874820.34694884,2858011427.199613,44.267748687607245,0.25047391003701236,4.740784184796915,4.490310274759903
0,h148,45,13740928.318247871,0.0,1914378223.693607,38.749036017885544,3.8162067650531775,6.464705706447678,2.6484989413945
0,h148,48,127299.91874585536,0.0,1918565983.7841182,38.76379193411474,1.5246896568569408,1.7239215218961164,0.19923186503917556
0,h148,68,2822993.3005341254,5263209.607661642,1366925524.312518,35.163348374189354,1.0893200023983773,5.602744945621538,4.513424943223161
0,h148,127,360843.34759430116,0.0,538089928.5209141,25.365419997998952,2.693958004158997,3.033697834254424,0.33973983009542685
0,h148,163,3635148.4940497857,0.0,354915881.36363876,22.133874343803623,9.224722019235852,9.481568369344389,0.2568463501085372
0,h148,278,2154416.2251313888,0.0,193392189.71784198,14.711648480514809,6.462212196338858,6.895686086860574,0.43347389052171614
0,h148,283,2063790.3327528015,0.0,189698901.86915123,19.31549434402596,4.06720816664016,5.602744945621538,1.5355367789813776
0,h148,329,3984285.8970111087,0.0,150125208.54835552,16.836500417519957,9.264938755803756,9.518605745786113,0.2536669899823565
0,h242,24,13659871.56946092,0.0,4139767418.0046062,50.1110915143714,3.248392472961669,5.710490040630193,2.4620975676685237
0,h242,41,1833825.5991626265,0.0,2190811230.254422,40.549257797848234,1.5120631553060662,2.4781371875352782,0.9660740322292121
0,h242,80,23521540.6678973,13426858.034682054,879716990.929764,29.895486280364096,0.7054826156334855,5.191966770446879,4.486484154813393
0,h242,439,7654546.34665055,0.0,88778016.75113815,13.973852669054688,9.57493540141703,9.589313464401794,0.014378062984764739
0,h229,20,3338274.865992406,27386510.649149213,2616969843.305857,42.98398397566663,0.34045940485851744,5.387254755475258,5.0467953506167404
0,h229,22,77148780.74741861,0.0,1528724859.3330462,35.93065601810788,5.183797527215042,9.589313464500837,4.405515937285795
0,h229,23,861068.1857683044,651979.0485182952,2107332537.0862002,39.98853298113855,5.148296328796253,6.35696061140479,1.2086642826085372
0,h229,27,4786507.657121212,0.0,1584998810.2122474,36.40284533744236,5.945218948903117,6.761004718041906,0.8157857691387891
0,h229,55,6790766.609284809,0.0,772716698.5212469,28.700257065798695,4.129030666895641,5.710490040785206,1.5814593738895653
0,h229,73,2715946.0569542055,0.0,556381512.3546666,15.110058218703273,4.245989105569521,4.41754889954772,0.17155979397819898
0,h329,31,109637.24693921806,0.0,1567818583.6007466,36.240530258921126,2.608733694261396,3.0336978340953085,0.42496413983391257
0,h329,33,1491120.936900578,0.0,1527705878.405654,35.93065601810788,5.110903734823886,5.387254755254723,0.2763510204308375
0,h329,137,3084173.3895318643,0.0,241156552.31430036,20.127069736632095,8.895394643470613,8.942842893690639,0.0474482502200253
